牧野,まきの
人,じん
ラジカセ,radio cassette
ラジオ講座,ラジオこうざ
思う,おもう
活動,かつどう
夢,ゆめ
ことわざ,ことわざ
録音,ろくおん
経済,けいざい
帰国,きこく
研究者,けんきゅうしゃ
欲しい,ほしい
英語,えいご
ステレオ,ステレオ
身につける,みにつける
成功,せいこう
祈る,いのる
日中,にっちゅう
友好,ゆうこう
深める,ふかめる
不便,ふべん
是非,ぜひ
決める,きめる
祖国,そこく
現代化,げんだいか
神舟号,しんしゅうごう
宇宙船,うちゅうせん
設計,せっけい
模型,もけい
少年時代                    ,しょうねんじだい
祖父                                 ,そふ
エンジニア,engineer
造船,ぞうせん
跡,あと
継ぐ,つぐ
打ち上げ,うちあげ
この間,このあいだ
晩ご飯,ばんごはん
にこにこ                              ,にこにこ
お前                                     ,おまえ
